1     1H ( 12C , 12C )  1H 
******************************

 PROJECTILE      TARGET      PART. C      PART. D
      12           1          12           1        AMU
  11177.9319    938.7833  11178.9319    938.7833    MEV


 BEAM ENERGY   4800.00 MEV        EXCITATION ENERGY     1.00
 GROUND STATE Q-VALUE      0.000 MEV.

1  PARTICLE C                                                         PARTICLE D
******************************************************************    ********************

    LAB     C.M.    KINET       P3        SOLID     1/2E     BRHO3      LAB    KINET  p4          SOLID  BRHO4   TOF
  ANGLE     ANG     ENERG                 ANGLE     DE/DT    KG.M       ANG    ENERGY               ANG  KG*M

   1.46    19.72   4753.031  11351.604   184.036    -0.387     63.11    76.565    45.969   297.361    0.53      9.92 0.1066E+01
   1.47    19.86   4752.387  11350.700   184.136    -0.390     63.11    76.474    46.613   299.487    0.54      9.99 0.1058E+01
   1.48    20.00   4751.738  11349.789   184.236    -0.393     63.10    76.384    47.262   301.615    0.54     10.06 0.1051E+01
   1.49    20.13   4751.084  11348.872   184.337    -0.396     63.10    76.293    47.916   303.745    0.54     10.13 0.1044E+01
   1.50    20.27   4750.426  11347.948   184.439    -0.398     63.09    76.202    48.574   305.876    0.55     10.20 0.1037E+01
   1.51    20.41   4749.763  11347.017   184.542    -0.401     63.09    76.111    49.237   308.010    0.55     10.27 0.1030E+01
   1.52    20.55   4749.095  11346.080   184.646    -0.404     63.08    76.021    49.905   310.146    0.56     10.35 0.1023E+01
   1.53    20.69   4748.422  11345.135   184.751    -0.407     63.08    75.930    50.578   312.283    0.56     10.42 0.1016E+01
   1.54    20.83   4747.745  11344.184   184.857    -0.410     63.07    75.839    51.255   314.423    0.56     10.49 0.1009E+01
   1.55    20.97   4747.063  11343.227   184.964    -0.413     63.06    75.748    51.937   316.564    0.57     10.56 0.1003E+01
   1.56    21.11   4746.376  11342.262   185.071    -0.416     63.06    75.657    52.624   318.708    0.57     10.63 0.9959E+00
   1.57    21.25   4745.684  11341.290   185.180    -0.419     63.05    75.566    53.316   320.854    0.58     10.70 0.9895E+00
   1.58    21.39   4744.987  11340.312   185.290    -0.422     63.05    75.475    54.013   323.002    0.58     10.77 0.9831E+00
   1.59    21.53   4744.286  11339.327   185.400    -0.425     63.04    75.384    54.714   325.151    0.58     10.85 0.9767E+00
   1.60    21.67   4743.579  11338.335   185.512    -0.428     63.04    75.293    55.421   327.303    0.59     10.92 0.9705E+00
   1.61    21.81   4742.868  11337.336   185.624    -0.431     63.03    75.202    56.132   329.458    0.59     10.99 0.9643E+00
   1.62    21.95   4742.152  11336.331   185.738    -0.434     63.03    75.111    56.848   331.614    0.60     11.06 0.9582E+00
   1.63    22.09   4741.431  11335.318   185.852    -0.437     63.02    75.019    57.569   333.772    0.60     11.13 0.9522E+00
   1.64    22.23   4740.705  11334.299   185.968    -0.440     63.01    74.928    58.295   335.933    0.60     11.21 0.9463E+00
   1.65    22.37   4739.974  11333.272   186.084    -0.443     63.01    74.837    59.026   338.096    0.61     11.28 0.9404E+00
   1.66    22.51   4739.239  11332.239   186.201    -0.446     63.00    74.745    59.761   340.261    0.61     11.35 0.9346E+00
   1.67    22.66   4738.498  11331.198   186.320    -0.449     63.00    74.654    60.502   342.428    0.62     11.42 0.9288E+00
   1.68    22.80   4737.753  11330.151   186.439    -0.452     62.99    74.562    61.247   344.597    0.62     11.50 0.9232E+00
